rank	node	node_type	visit_count	visit_prob	degree	gat_hub_score	prad_annotation
110	LRP6	gene	729886	0.00040594	2643	0.00628454	
111	PRPF19	gene	727398	0.00040456	2796	0.00510225	
112	PRDX1	gene	726962	0.00040432	3108	0.00308378	
113	ITPR3	gene	725987	0.00040377	3203	0.00270061	
114	CDC37	gene	725130	0.0004033	2714	0.00522227	
115	BRD2	gene	723980	0.00040266	2644	0.00675836	(ergPRAD) BET bromodomain; co-regulator of AR and ERG in PRAD; Drugs: JQ1, OTX015, ABBV-075, ABBV-744 [BET inhibitors]
116	TUFM	gene	723158	0.0004022	3012	0.00332362	
117	PDE3B	gene	722813	0.00040201	3234	0.00230148	
118	HECTD1	gene	721921	0.00040151	3009	0.00316099	
119	CEBPA	gene	720306	0.00040062	2991	0.0036711	
120	SPTBN1	gene	719930	0.00040041	2853	0.00459409	
121	POLR2G	gene	719038	0.00039991	2841	0.00419544	
122	LNX1	gene	715722	0.00039807	1919	0.01457112	
123	IFNAR2	gene	715482	0.00039793	3051	0.00314275	
124	SGTA	gene	714442	0.00039735	2698	0.00548395	
125	TCF12	gene	714025	0.00039712	2607	0.00588167	
126	AP2S1	gene	713951	0.00039708	2983	0.00300071	
127	COX4I1	gene	712330	0.00039618	2760	0.00497075	
128	NIN	gene	711058	0.00039547	2732	0.00543041	
129	SNRNP200	gene	711021	0.00039545	2954	0.00364925	
130	TPR	gene	710515	0.00039517	3094	0.0022432	
131	DLG1	gene	710034	0.0003949	2700	0.0051318	
132	XIAP	gene	708989	0.00039432	2830	0.00424778	
133	SP1	gene	707802	0.00039366	2794	0.0042186	
134	PKD2	gene	707285	0.00039337	2951	0.00338434	
135	MRPS2	gene	705275	0.00039226	2847	0.00460257	
136	SUZ12	gene	704185	0.00039165	2852	0.00392599	
137	MED14	gene	702246	0.00039057	2780	0.00483891	
138	CDH1	gene	701593	0.00039021	1908	0.01290364	[PRAD target] E-cadherin; epithelial marker; loss promotes EMT/invasion; Drugs: epigenetic agents restore CDH1 (azacitidine, decitabine) [DNMTi]; HDAC inhibitors (vorinostat, entinostat)
139	ARIH1	gene	700891	0.00038982	2678	0.00518221	
140	BCOR	gene	696897	0.0003876	2942	0.00347605	
141	RDX	gene	695906	0.00038704	2825	0.00405573	
142	MRPL38	gene	695711	0.00038694	2892	0.0035122	
143	TRRAP	gene	695397	0.00038676	2756	0.00425874	
144	ITCH	gene	694615	0.00038633	2727	0.0043911	
145	BCAP31	gene	694406	0.00038621	2722	0.00460615	
146	BCLAF1	gene	693970	0.00038597	3022	0.00268002	
147	NCOA1	gene	688643	0.00038301	2927	0.00383893	
148	SF3B1	gene	687949	0.00038262	2623	0.00545153	
149	CALM1	gene	687114	0.00038215	1254	0.02424561	
150	NMRAL1	gene	686027	0.00038155	2763	0.00412487	
151	ATF2	gene	685521	0.00038127	2767	0.00384266	
152	HMGA1	gene	685482	0.00038125	2895	0.0038686	
153	SYNJ2BP	gene	685362	0.00038118	2856	0.00414548	
154	USP9X	gene	684836	0.00038089	2886	0.00309007	
155	DDX6	gene	683760	0.00038029	2868	0.00416795	
156	COMMD1	gene	683514	0.00038015	2666	0.00452984	
157	PTPRK	gene	683256	0.00038001	2955	0.00333331	
158	GABARAPL2	gene	682775	0.00037974	2176	0.01023824	
159	RSAD1	gene	682537	0.00037961	2621	0.0058064	
160	CTNND1	gene	682521	0.0003796	2764	0.00387427	
161	APOE	gene	682479	0.00037958	2126	0.01026553	
162	MRPL12	gene	680354	0.00037839	2813	0.00369041	
163	MRPL11	gene	680020	0.00037821	2627	0.00543611	
164	UTRN	gene	679963	0.00037818	2904	0.00303439	
165	PIN1	gene	679304	0.00037781	2634	0.00487313	
166	BIRC6	gene	678918	0.0003776	2628	0.00500627	
167	DOCK1	gene	678834	0.00037755	2978	0.00242494	
168	ANAPC1	gene	678470	0.00037735	2774	0.00390627	
169	THOC2	gene	677215	0.00037665	2905	0.00296733	
170	BAIAP2	gene	677172	0.00037663	3125	0.00180157	
171	MRPL41	gene	676262	0.00037612	2858	0.00320423	
172	CUL4B	gene	675664	0.00037579	2745	0.00429398	
173	BLVRB	gene	675481	0.00037568	3087	0.00192854	
174	TADA3	gene	675445	0.00037566	2961	0.00260829	
175	KRR1	gene	675329	0.0003756	2706	0.00456152	
176	MPDZ	gene	674712	0.00037526	2806	0.00339558	
177	AZGP1	gene	674639	0.00037522	2835	0.00403635	
178	NIPBL	gene	674610	0.0003752	2754	0.00362288	
179	TRIM33	gene	674549	0.00037517	2702	0.00453325	
180	ACVR1	gene	673258	0.00037445	2827	0.00362415	
181	SETD2	gene	672968	0.00037429	2666	0.00456787	
182	CCDC22	gene	670476	0.0003729	2754	0.00391193	
183	NDUFV1	gene	669630	0.00037243	2831	0.00354097	
184	ALMS1	gene	669335	0.00037227	3020	0.00198349	
185	SF3A1	gene	669052	0.00037211	2754	0.00421562	
186	HNRNPU	gene	668837	0.00037199	2197	0.00929902	
187	TMEM53	gene	668362	0.00037173	3209	0.00079436	
188	FAT1	gene	667901	0.00037147	2862	0.00337851	
189	KRT8	gene	667403	0.00037119	2662	0.00429862	
190	ANKRD6	gene	666654	0.00037078	3258	0.00097237	
191	MED17	gene	666050	0.00037044	2827	0.00361425	
192	MRPL21	gene	663933	0.00036926	2710	0.0043389	
193	ROCK1	gene	663819	0.0003692	2691	0.00388098	
194	RHOG	gene	663606	0.00036908	2578	0.0049999	
195	COMMD4	gene	663313	0.00036892	2691	0.00383776	
196	MAPK6	gene	662918	0.0003687	2920	0.00276611	
197	PUM1	gene	662737	0.0003686	2926	0.00242793	
198	HSPB1	gene	661937	0.00036815	2526	0.0058638	
199	ITPR1	gene	661156	0.00036772	2764	0.0040254	
200	CD81	gene	660812	0.00036753	2430	0.00568092	
201	MRPL34	gene	660545	0.00036738	2847	0.00317296	
202	CACNA1D	gene	660359	0.00036727	3006	0.00252564	
203	GAB1	gene	660064	0.00036711	2827	0.00333583	
204	COX5B	gene	659320	0.0003667	2622	0.00432077	
205	MATR3	gene	658506	0.00036624	2822	0.00319291	
206	MRPL17	gene	657842	0.00036587	2555	0.0058573	
207	GOSR1	gene	657408	0.00036563	2794	0.00318905	
208	RAD51C	gene	657248	0.00036554	2887	0.00293441	[PRAD target] RAD51 paralog; HRR; mutations sensitize to PARP inhibitors; Drugs: olaparib, niraparib [PARP inhibitors per biomarker panels]
209	SLC25A1	gene	657122	0.00036547	2807	0.00318902	
210	SF3B5	gene	656603	0.00036519	2729	0.0031766	
211	MRPL48	gene	655452	0.00036455	3090	0.00120244	
212	EIF5A	gene	655402	0.00036452	2953	0.00237337	
213	LATS1	gene	655075	0.00036434	2631	0.00408201	
214	MYO6	gene	655021	0.00036431	2582	0.00563376	
215	HERC1	gene	654695	0.00036412	2752	0.00343831	
216	MRPL46	gene	654040	0.00036376	2724	0.00394861	
217	WDR26	gene	653177	0.00036328	2811	0.00290508	
218	SCARB2	gene	652148	0.00036271	2302	0.00728753	
219	TNRC6B	gene	652011	0.00036263	2959	0.00216465	
220	STAG2	gene	651334	0.00036225	2871	0.0023998	
221	CTR9	gene	651330	0.00036225	2726	0.0035938	
222	XRCC5	gene	651322	0.00036225	2304	0.00745764	
223	ATP1A1	gene	650642	0.00036187	2709	0.00446956	
224	SOS2	gene	649945	0.00036148	2962	0.0014872	
225	TEX264	gene	648905	0.0003609	2939	0.00188068	
226	PICK1	gene	648567	0.00036072	2537	0.0049012	
227	LSM4	gene	648566	0.00036072	2697	0.00321366	
228	CEP170	gene	648452	0.00036065	2884	0.00245842	
229	ARNT	gene	647551	0.00036015	2799	0.00301654	
230	CAPRIN1	gene	647551	0.00036015	2795	0.00329094	
231	SLC9A3R1	gene	647373	0.00036005	2610	0.00477087	
232	ARNT2	gene	647115	0.00035991	3056	0.001875	
233	TET2	gene	646020	0.0003593	2880	0.00214979	
234	SIPA1L1	gene	645975	0.00035927	3117	0.00140207	
235	WDR36	gene	645693	0.00035912	2867	0.00236079	
236	RTF1	gene	645326	0.00035891	2764	0.00378323	
237	CDC42SE2	gene	645223	0.00035886	3193	0.00100253	
238	PPP1R7	gene	645161	0.00035882	2799	0.00268325	
239	JAGN1	gene	644885	0.00035867	3080	0.00122942	
240	BMPR2	gene	644684	0.00035856	2741	0.00325632	
241	DYNC1I2	gene	644494	0.00035845	2741	0.00345292	
242	NDUFA13	gene	644213	0.00035829	2621	0.0037891	
243	FRYL	gene	643725	0.00035802	2821	0.00265763	
244	RING1	gene	642994	0.00035762	2727	0.00299331	
245	PPP1CB	gene	642778	0.0003575	2177	0.00868693	
246	IGF2R	gene	642690	0.00035745	2469	0.00543376	
247	CTCF	gene	642235	0.00035719	2690	0.00388524	
248	SMUG1	gene	642048	0.00035709	2935	0.00161064	
249	AP1S1	gene	641771	0.00035694	2860	0.00231572	
250	SORT1	gene	641173	0.0003566	2065	0.00985549	
251	REST	gene	641077	0.00035655	2687	0.00332365	
252	AQR	gene	640950	0.00035648	2868	0.00201907	
253	NCKAP1	gene	640259	0.0003561	2593	0.00389177	
254	AKAP13	gene	640023	0.00035596	3047	0.00122278	
255	NDUFA9	gene	639563	0.00035571	2725	0.00376855	
256	LPAR1	gene	639267	0.00035554	1969	0.01103505	
257	CEP76	gene	639142	0.00035547	2709	0.00379695	
258	FXYD3	gene	637361	0.00035448	2809	0.00285141	
259	FAF2	gene	637333	0.00035447	2538	0.00519271	
260	SMAD5	gene	637305	0.00035445	2904	0.00175774	
261	KIF16B	gene	637288	0.00035444	3036	0.0018782	
262	RASA1	gene	636716	0.00035412	2801	0.00226483	
263	RHOU	gene	636605	0.00035406	684	0.0514758	
264	UQCRC1	gene	636277	0.00035388	2705	0.00325389	
265	GSS	gene	636138	0.0003538	3124	0.00066929	
266	DIP2B	gene	635539	0.00035347	3002	0.00121583	
267	ZNF644	gene	635051	0.0003532	2879	0.00192777	
268	CBX6	gene	634912	0.00035312	2574	0.00456162	
269	IREB2	gene	634464	0.00035287	2775	0.00270938	
270	CDC40	gene	634233	0.00035274	2805	0.00265436	
271	MAD1L1	gene	633369	0.00035226	2901	0.00184938	
272	COPA	gene	632896	0.000352	2724	0.00348648	
273	NDUFB9	gene	632741	0.00035191	2667	0.00389588	
274	GTF2I	gene	632207	0.00035162	2655	0.00330823	
275	CDK12	gene	632023	0.00035151	2673	0.0033066	[PRAD target] Transcription-coupled DNA repair kinase; biallelic loss ~7% mCRPC; Drugs: dinaciclib, THZ531, NVP-2 [CDK12 inhibitors]; immunotherapy combinations (CDK12-loss = tandem duplicator phenotype)
276	BRD1	gene	631950	0.00035147	2207	0.00828927	
277	USP34	gene	631653	0.00035131	2844	0.00219097	
278	CNPY3	gene	631462	0.0003512	2630	0.00366546	
279	VLDLR	gene	630080	0.00035043	2777	0.00335731	
280	ACAA1	gene	629901	0.00035033	2891	0.00202352	
281	STRN	gene	629856	0.00035031	2717	0.00262887	
282	LYRM4	gene	629567	0.00035015	2692	0.00314759	
283	TST	gene	628997	0.00034983	2924	0.00164521	
284	CHMP1A	gene	628483	0.00034955	2828	0.00232184	
285	HNRNPK	gene	627667	0.00034909	2297	0.00641519	
286	PHF2	gene	627163	0.00034881	3106	0.00083823	
287	CCNT1	gene	627111	0.00034878	2635	0.00338673	
288	NDUFS7	gene	625726	0.00034801	2642	0.00333051	
289	SCAND1	gene	625191	0.00034771	2596	0.0032801	
290	ECHS1	gene	624901	0.00034755	2963	0.00191525	
291	PFN1	gene	624810	0.0003475	2493	0.00459231	
292	ASAP2	gene	624749	0.00034747	2994	0.00150151	
293	HSPD1	gene	624746	0.00034747	1053	0.02843845	
294	SMC3	gene	624529	0.00034735	2511	0.00436485	
295	MAML1	gene	623802	0.00034694	2914	0.001413	
296	CELF1	gene	623777	0.00034693	2717	0.00300368	
297	EPC2	gene	623628	0.00034685	2886	0.0015401	
298	NPRL2	gene	623567	0.00034681	2802	0.00193648	
299	EIF4G3	gene	622781	0.00034637	2877	0.00185903	
300	GTF3C3	gene	622307	0.00034611	2652	0.00322442	
301	SH3RF1	gene	622197	0.00034605	3086	0.00115251	
302	EIF2AK2	gene	621266	0.00034553	2573	0.00434546	
303	ARID1A	gene	621231	0.00034551	2626	0.00310168	
304	ACY1	gene	620848	0.0003453	2907	0.00193526	
305	BCS1L	gene	620833	0.00034529	2772	0.00251037	
306	NDUFB8	gene	620690	0.00034521	2641	0.00318242	
307	UBL4A	gene	620617	0.00034517	2406	0.00558164	
308	RALY	gene	620078	0.00034487	2653	0.00298154	
309	MTX1	gene	619880	0.00034476	2718	0.00245198	
310	USP47	gene	619265	0.00034442	2842	0.00229577	
311	ARRB1	gene	619246	0.00034441	1393	0.01772286	
312	MFSD5	gene	619011	0.00034428	3007	0.0008602	
313	MRPS24	gene	618935	0.00034424	2773	0.00224887	
314	NCOR2	gene	618900	0.00034422	2258	0.0065577	[PRAD target] AR co-repressor (SMRT); loss drives AR constitutive activity; Drugs: enzalutamide resistance biomarker; next-gen ARSi (darolutamide)
315	AP1M1	gene	618260	0.00034386	2528	0.00445511	
316	TIMM50	gene	618183	0.00034382	2625	0.00317486	
317	THOP1	gene	617913	0.00034367	2884	0.00171921	
318	GRIP1	gene	617713	0.00034356	2753	0.00309036	
319	OTUD4	gene	617418	0.00034339	2649	0.00301704	
320	ARID1B	gene	617035	0.00034318	2798	0.00175868	
321	DENND5B	gene	616930	0.00034312	3047	0.00100629	
322	GET4	gene	616674	0.00034298	2719	0.00263826	
323	CWC22	gene	616496	0.00034288	2738	0.0029938	
324	DCAF7	gene	616236	0.00034273	2508	0.00429414	
325	PDS5A	gene	616190	0.00034271	2782	0.00204146	
326	NOC4L	gene	615820	0.0003425	2679	0.00257846	
327	GATAD2B	gene	615462	0.0003423	2758	0.0024025	
328	NDUFC2	gene	614909	0.000342	2828	0.00218142	
329	FEM1B	gene	614624	0.00034184	2667	0.00290358	
330	NDUFB10	gene	614406	0.00034172	2565	0.00367871	
331	DCAF5	gene	614334	0.00034168	2764	0.0027941	
332	ATP6V0C	gene	613713	0.00034133	2546	0.0037773	
333	PIK3C2A	gene	613288	0.00034109	2716	0.00229576	
334	NUP160	gene	613226	0.00034106	2831	0.00153462	
335	SON	gene	613078	0.00034098	2841	0.00168567	
336	AGPAT1	gene	613030	0.00034095	2861	0.0022142	
337	HMG20B	gene	612409	0.00034061	2959	0.00135267	
338	KIAA2026	gene	612282	0.00034054	2748	0.00213768	
339	POP5	gene	612110	0.00034044	2802	0.00170206	
340	ABI2	gene	611756	0.00034024	2704	0.00337678	
341	SOCS5	gene	610935	0.00033979	2831	0.00143289	
342	DCP1A	gene	609732	0.00033912	2612	0.00337841	
343	PDZD8	gene	609445	0.00033896	2640	0.00310482	
344	BAG5	gene	609395	0.00033893	2647	0.00356644	
345	DAG1	gene	609268	0.00033886	2568	0.00371556	
346	PSMB6	gene	609127	0.00033878	2645	0.00273707	
347	CLN3	gene	608780	0.00033859	2868	0.00208528	
348	REV3L	gene	608157	0.00033824	2707	0.0025513	
349	CKAP5	gene	607985	0.00033815	2586	0.00340782	
350	COX6A1	gene	607963	0.00033813	2734	0.0021899	
351	ATPAF2	gene	607905	0.0003381	2870	0.00157063	
352	EPC1	gene	607082	0.00033764	2751	0.0018236	
353	PRPF4B	gene	607043	0.00033762	2773	0.00213157	
354	RBM7	gene	606964	0.00033758	2939	0.00158706	
355	LRRFIP1	gene	606537	0.00033734	2949	0.00121281	
356	POP7	gene	605922	0.000337	2774	0.00166085	
357	HELZ	gene	605844	0.00033695	2721	0.00225633	
358	PPARA	gene	605694	0.00033687	2494	0.00427581	
359	MED23	gene	605424	0.00033672	2774	0.00173728	
360	RABGGTA	gene	604429	0.00033617	2698	0.00230157	
361	BSCL2	gene	604166	0.00033602	2463	0.00431078	
362	POLDIP2	gene	603512	0.00033566	2691	0.00239151	
363	ATAD3A	gene	603146	0.00033545	2586	0.00338222	
364	STX8	gene	603007	0.00033538	2613	0.00289535	
365	SLC3A2	gene	602554	0.00033512	2493	0.00464221	
366	NDUFB7	gene	602325	0.000335	2571	0.00297397	
367	DNAJC21	gene	601855	0.00033474	2950	0.0010907	
368	BANF1	gene	601514	0.00033455	2591	0.00312451	
369	NSMCE1	gene	601426	0.0003345	2509	0.00386651	
370	ANKRD40	gene	600505	0.00033398	2506	0.0041153	
371	ADCK1	gene	600394	0.00033392	2965	0.00117001	
372	ATP6V1F	gene	600282	0.00033386	2563	0.00342511	
373	SETX	gene	600069	0.00033374	2753	0.00212338	
374	NANS	gene	600026	0.00033372	2887	0.00136135	
375	PTPRG	gene	599752	0.00033357	2568	0.00342706	
376	PRKCZ	gene	599677	0.00033352	2553	0.00349625	
377	KBTBD7	gene	599387	0.00033336	2572	0.00379246	
378	ZMYND19	gene	599340	0.00033334	2426	0.00429872	
379	CYP2R1	gene	599050	0.00033318	3044	0.00083759	
380	HEATR1	gene	599014	0.00033316	2622	0.00259952	
381	GHR	gene	598973	0.00033313	2820	0.00218482	
382	LSM10	gene	598550	0.0003329	2665	0.00224623	
383	EFR3A	gene	598421	0.00033283	2789	0.00165528	
384	MED12	gene	598261	0.00033274	2791	0.00197927	
385	IRF3	gene	598220	0.00033271	2457	0.00372852	
386	EIF5AL1	gene	597719	0.00033244	2849	0.00194155	
387	PRKD1	gene	597603	0.00033237	2795	0.00243425	
388	YIPF1	gene	597580	0.00033236	2654	0.00274548	
389	POM121C	gene	597209	0.00033215	2785	0.00226964	
390	SMG1	gene	597023	0.00033205	2604	0.00276638	
391	PKN2	gene	596763	0.0003319	2673	0.00219215	
392	LGALS8	gene	596674	0.00033185	2309	0.00611724	
393	C17orf48	gene	596641	0.00033184	3036	0.00068189	
394	ZC3H13	gene	596508	0.00033176	2681	0.00284941	
395	CHCHD1	gene	596283	0.00033164	2807	0.00119539	
396	ATP6V0B	gene	596054	0.00033151	2655	0.00232701	
397	MECP2	gene	596012	0.00033149	2458	0.00456387	
398	NT5C	gene	595942	0.00033145	2750	0.00168743	
399	CLTB	gene	595557	0.00033123	2513	0.00302333	
400	ATXN1	gene	595444	0.00033117	2231	0.00662748	
401	ARPC4	gene	595321	0.0003311	2501	0.00340569	
402	FAM98B	gene	595175	0.00033102	2837	0.00099628	
403	MOSPD2	gene	594957	0.0003309	2558	0.00342657	
404	PICALM	gene	594487	0.00033064	2113	0.00757581	
405	POP4	gene	594082	0.00033041	2626	0.00232082	
